time,london,female,male,uk
2020 JAN,4.5,4,4.9,4.0
2020 FEB,4.8,4.7,4.8,4.1
2020 MAR,4.8,4.8,4.8,4.1
2020 APR,5.3,5.7,5,4.2
2020 MAY,4.8,5,4.7,4.2
2020 JUN,5.2,5.2,5.2,4.4
2020 JUL,5.3,5,5.6,4.7
2020 AUG,6.1,6.4,5.8,5.0
2020 SEP,6.6,7.4,5.9,5.2
2020 OCT,7.1,7.7,6.5,5.2
2020 NOV,7.2,7.7,6.8,5.3
2020 DEC,7.4,7.8,7.1,5.2
2021 JAN,7.3,7.8,6.8,5.1
2021 FEB,6.9,7.3,6.6,5.0
2021 MAR,6.6,7.1,6.1,4.9
2021 APR,6.5,7.2,5.9,4.9
2021 MAY,6.4,7,5.8,4.8
2021 JUN,6,6.7,5.4,4.7
2021 JUL,5.8,5.9,5.6,4.5
2021 AUG,5.6,6.3,5,4.3
2021 SEP,5.4,5.9,5,4.3